datetime,price,volume
2025-05-05 07:09:50.025,146.75829155618231,2103578093.005232
2025-05-05 08:04:52.980,146.8577898274804,2104657979.315303
2025-05-05 09:04:44.097,146.6120384135716,2082034229.038147
2025-05-05 10:04:59.183,146.25293944482112,2047167941.581161
2025-05-05 11:04:59.411,144.18829553330986,2087741234.3646119
2025-05-05 12:07:25.809,144.0539448790519,2070069428.3763673
2025-05-05 13:10:58.030,144.51179669181292,2120542035.1116614
2025-05-05 14:04:49.749,144.62218316945598,2204428734.354637
2025-05-05 15:09:22.431,144.63588352999034,2302882362.7963367
2025-05-05 16:00:34.376,143.72019857157926,2341649754.273225
2025-05-05 17:09:34.895,145.01656808120498,2395335703.7414627
2025-05-05 18:04:48.758,145.79574473527805,2428796920.0522914
2025-05-05 19:04:46.801,146.69248610358468,2499057594.5586963
